DIAG_NM,ID,activity_average_met,activity_cal_active,activity_cal_total,activity_daily_movement,activity_high,activity_inactive,activity_inactivity_alerts,activity_low,activity_medium,activity_met_min_high,activity_met_min_inactive,activity_met_min_low,activity_met_min_medium,activity_non_wear,activity_rest,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_score_recovery_time,activity_score_stay_active,activity_score_training_frequency,activity_score_training_volume,activity_steps,activity_total,sleep_awake,sleep_breath_average,sleep_deep,sleep_duration,sleep_efficiency,sleep_hr_average,sleep_hr_lowest,sleep_is_longest,sleep_light,sleep_midpoint_at_delta,sleep_midpoint_time,sleep_onset_latency,sleep_period_id,sleep_rem,sleep_restless,sleep_rmssd,sleep_score,sleep_score_alignment,sleep_score_deep,sleep_score_disturbances,sleep_score_efficiency,sleep_score_latency,sleep_score_rem,sleep_score_total,sleep_temperature_delta,sleep_temperature_deviation,sleep_total
Dem,203.21656976744185,1.383559562398702,401.49918962722916,2425.9432739059957,7496.0729335494325,3.014586709886549,478.83630470016146,0.37439222042139303,212.3322528363047,46.303079416531595,22.35818476499185,6.410048622366297,149.77795786061571,151.36304700162083,40.3484602917342,649.4538087520253,74.72447325769859,47.623987034035686,97.14262560777976,90.64343598055095,81.63695299837919,70.10048622366291,76.50405186385728,8801.016207455445,261.649918962723,6825.446584938696,16.5965411558669,4232.364273204907,33922.80210157615,80.8248686514885,58.712784588441274,52.73029772329256,1.0,18704.448336252208,17504.380035026246,17273.432574430793,960.1576182136619,0.8791593695271465,4160.542907180387,45.03502626970236,32.28371278458848,73.67075306479855,87.06479859894917,68.79859894921202,62.59369527145366,72.98774080560432,73.89667250437836,59.12959719789837,80.21190893169873,-0.038581436077057864,-0.038581436077057864,27097.35551663744
MCI,159.30711707065498,1.48248291015625,480.20842633928737,2541.4695870535656,9030.22600446424,2.33984375,497.08900669642736,0.3267299107142858,310.0220424107132,53.13309151785733,15.900669642857116,8.234933035714258,208.94614955357048,167.923828125,44.65122767857146,527.0373883928602,84.70368303571448,79.20145089285732,97.4553571428571,87.27511160714286,80.361328125,82.1023995535717,88.92243303571459,11116.188895089274,365.49497767857144,5688.449150014891,16.93848792126462,4911.025946913197,29084.682373993724,81.06143751863911,60.437145839545934,55.13838353713095,1.0,14911.154190277397,10454.344765881338,14576.19743513277,681.9564569042681,0.8025648672830272,3574.0530867879493,36.42916790933481,32.55234118699651,72.79302117506779,93.7888458097225,80.11452430659085,65.28422308380588,74.14375186400264,79.73426781986329,53.4246943036085,71.03578884581034,-0.001231732776617943,-0.001231732776617943,23396.233223978586
CN,260.4513481828839,1.468622110408197,463.1758912067949,2487.31507299878,8772.154342971307,3.226383740391011,521.9262815468378,0.5002345126334045,282.47032448181506,52.26333026825105,22.554635505177437,7.792937599108594,192.39711697701432,165.76328241006297,45.4437794572811,527.9383292286342,82.41637436291496,76.15944210367797,95.56410339879406,85.42465067754868,77.40597555171973,80.61055643444533,87.3015174698966,10591.890679750893,337.9600384904567,5277.409445861369,16.72950597459701,5285.605633060072,28654.41027784852,82.15498574090576,60.59072543627148,55.05783590213916,1.0,14405.45405593312,11441.217346603722,14405.895159657972,702.8603619775566,0.9336415460603071,3685.941142993935,35.871529723507564,33.445396346142566,73.22258105406462,89.8204992794837,83.24819111549806,65.82123272342785,76.50980999866556,79.95488132736337,55.36902210321659,70.97837816874429,-0.012684334654602917,-0.012684334654602917,23377.000831987127
