DIAG_NM,ID,activity_average_met,activity_cal_active,activity_cal_total,activity_daily_movement,activity_high,activity_inactive,activity_inactivity_alerts,activity_low,activity_medium,activity_met_min_high,activity_met_min_inactive,activity_met_min_low,activity_met_min_medium,activity_non_wear,activity_rest,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_score_recovery_time,activity_score_stay_active,activity_score_training_frequency,activity_score_training_volume,activity_steps,activity_total,sleep_awake,sleep_breath_average,sleep_deep,sleep_duration,sleep_efficiency,sleep_hr_average,sleep_hr_lowest,sleep_is_longest,sleep_light,sleep_midpoint_at_delta,sleep_midpoint_time,sleep_onset_latency,sleep_period_id,sleep_rem,sleep_restless,sleep_rmssd,sleep_score,sleep_score_alignment,sleep_score_deep,sleep_score_disturbances,sleep_score_efficiency,sleep_score_latency,sleep_score_rem,sleep_score_total,sleep_temperature_delta,sleep_temperature_deviation,sleep_total
Dem,206.662,1.355625,370.018,2385.676,6853.892,2.59,473.484,0.338,201.51,43.444,19.258,6.354,136.706,141.656,41.464,675.942,74.524,45.852,97.508,91.2,82.528,69.778,76.298,8215.366,247.544,6865.74,16.51825,4169.22,33975.48,80.802,58.71152000000003,52.73,1.0,18742.86,17927.528,17265.54,957.06,0.908,4197.66,45.412,32.658,73.554,86.268,68.312,62.46,72.908,73.84,59.516,80.236,-0.043620000000000006,-0.043620000000000006,27109.74
MCI,161.11462064474114,1.4861201563008792,490.49918593292085,2551.8085314229893,9237.10452621296,2.567241940735917,488.63041354607617,0.3112992510582872,313.18984044285247,54.661999348746335,17.2972972972973,8.178443503744708,211.72875284923478,172.3637251709541,43.43438619342234,537.0006512536632,85.14946271572778,80.01563008791925,97.60664278736567,86.60501465320742,81.61673721914686,83.1937479648323,89.61120156300879,11354.241615109086,370.41908173233475,5627.408010420058,16.940817323347442,4903.314881146206,29007.48941712797,81.23510257245196,60.53510908498857,55.240638228590036,1.0,14889.690654509932,10604.97850862911,14537.408010420058,677.8866818625855,0.8218821230869424,3587.075871051775,36.223380006512535,32.532725496580916,72.855421686747,93.50179094757408,80.21393682839467,65.50016281341583,74.5421686746988,79.63301856072941,53.607945294692286,71.03223705633344,0.003474438293715393,0.003474438293715393,23380.08140670791
CN,260.704214845207,1.468522706079821,469.0883998508019,2492.47538232003,8895.814994405073,3.3202163371876168,514.0902648265572,0.4742633345766505,283.7135397239836,53.255128683327115,23.331219694143975,7.729205520328236,193.6685938082805,168.772286460276,44.698619917941066,539.4699738903395,82.94535621036927,76.78869824692279,95.8289817232376,85.33383066020141,78.58038045505408,81.5408429690414,87.95132413278627,10723.313315926893,340.2888847444983,5219.451697127937,16.738413838120106,5264.563595673256,28494.93099589705,82.24543080939948,60.62359007832902,55.09977620290936,1.0,14331.825811264454,11241.378217083178,14313.239462886982,702.1913465124953,0.958597538232003,3679.089891831406,35.84073107049608,33.36516225289071,73.13800820589333,89.5182767624021,83.2325624766878,65.92521447221186,76.70794479671764,80.03487504662439,55.363297277135395,70.7047743379336,-0.01259231629988809,-0.01259231629988809,23275.479298769114
