DIAG_NM,activity_cal_active,activity_cal_total,activity_daily_movement,activity_steps,sleep_awake,sleep_breath_average,sleep_deep,sleep_duration,sleep_hr_average,sleep_hr_lowest,sleep_rem
Dem,401.4991896272292,2425.943273905996,7496.072933549432,8801.016207455445,6825.446584938696,16.5965411558669,4232.364273204907,33922.80210157615,58.71278458844128,52.73029772329256,4160.542907180387
MCI,480.20842633928737,2541.4695870535656,9030.22600446424,11116.188895089274,5688.449150014891,16.93848792126462,4911.025946913197,29084.682373993724,60.437145839545934,55.13838353713095,3574.0530867879493
CN,463.1758912067949,2487.31507299878,8772.154342971307,10591.890679750892,5277.409445861369,16.72950597459701,5285.605633060072,28654.41027784852,60.59072543627148,55.05783590213916,3685.941142993935
