DIAG_NM,activity_cal_active,activity_cal_total,activity_daily_movement,activity_high,activity_inactive,activity_medium,activity_met_min_high,activity_met_min_inactive,activity_met_min_low,activity_met_min_medium,activity_rest,activity_steps,sleep_awake,sleep_breath_average,sleep_deep,sleep_duration,sleep_hr_average,sleep_hr_lowest,sleep_rem,sleep_temperature_delta,sleep_temperature_deviation,sleep_total
Dem,422.8319025840307,2451.662193694954,7926.098608716721,3.283108800611043,476.5546334981443,48.67662666170124,24.30920384157192,6.3740808925896095,157.37289325527908,159.35926492037385,642.6198038254038,9194.240632852086,6823.296828641808,16.666301632494502,4199.597653391989,33582.08426510319,58.626567469554566,52.70805807628563,4063.4841908410144,-0.0359435719267816,-0.0359435719267816,26758.78743646136
MCI,478.6625109853471,2539.814475412748,8996.601904472282,2.3183961292119637,498.5785241681747,52.96778351875186,15.737535517044227,8.238713194421543,208.0390455892069,167.62882787157906,526.5745913634491,11080.470564515084,5725.049002360756,16.91464923699971,4896.060853768711,29023.269868470536,60.34426750524565,55.05855163326255,3542.9260629883843,-0.0016020243390487,-0.0016020243390487,23298.220866109925
CN,460.3757869935222,2484.323611554248,8715.73405185674,3.189616689032289,522.2272019660846,51.84146972017429,22.299925872758227,7.787533481636865,191.5540752244303,164.45157441591567,528.924534043323,10533.49423526137,5305.218680855735,16.733783697504197,5291.957083947756,28628.825633230696,60.61229524424158,55.06802441648845,3653.123870908104,-0.0128935502434545,-0.0128935502434545,23323.606952375027
