DIAG_NM,activity_cal_active,activity_cal_total,activity_daily_movement,activity_high,activity_inactive,activity_medium,activity_met_min_high,activity_met_min_inactive,activity_met_min_low,activity_met_min_medium,activity_rest,activity_steps,sleep_awake,sleep_breath_average,sleep_deep,sleep_duration,sleep_hr_average,sleep_hr_lowest,sleep_rem,sleep_temperature_delta,sleep_temperature_deviation,sleep_total
Dem,370.018,2385.676,6853.892,2.59,473.484,43.444,19.258,6.354,136.706,141.656,675.942,8215.366,6865.74,16.51825,4169.22,33975.48,58.71152000000003,52.73,4197.66,-0.04362,-0.04362,27109.74
MCI,490.49918593292085,2551.8085314229893,9237.10452621296,2.567241940735917,488.63041354607617,54.661999348746335,17.2972972972973,8.178443503744708,211.7287528492348,172.3637251709541,537.0006512536632,11354.241615109086,5627.408010420058,16.940817323347442,4903.314881146206,29007.48941712797,60.53510908498857,55.24063822859004,3587.075871051775,0.0034744382937153,0.0034744382937153,23380.08140670791
CN,469.0883998508019,2492.47538232003,8895.814994405073,3.3202163371876168,514.0902648265572,53.25512868332712,23.33121969414397,7.729205520328236,193.6685938082805,168.772286460276,539.4699738903395,10723.313315926893,5219.451697127937,16.738413838120106,5264.563595673256,28494.93099589705,60.62359007832902,55.09977620290936,3679.089891831406,-0.012592316299888,-0.012592316299888,23275.479298769114
