DIAG_NM,activity_cal_active,activity_cal_total,activity_daily_movement,activity_steps,sleep_awake,sleep_breath_average,sleep_deep,sleep_duration,sleep_hr_average,sleep_hr_lowest,sleep_rem
Dem,370.018,2385.676,6853.892,8215.366,6865.74,16.51825,4169.22,33975.48,58.71152000000003,52.73,4197.66
MCI,490.49918593292085,2551.8085314229893,9237.10452621296,11354.241615109086,5627.408010420058,16.940817323347442,4903.314881146206,29007.48941712797,60.53510908498857,55.24063822859004,3587.075871051775
CN,469.0883998508019,2492.47538232003,8895.814994405073,10723.313315926893,5219.451697127937,16.738413838120106,5264.563595673256,28494.93099589705,60.62359007832902,55.09977620290936,3679.089891831406
