DIAG_NM,activity_cal_active,activity_cal_total,activity_daily_movement,activity_high,activity_inactive,activity_medium,activity_met_min_high,activity_met_min_inactive,activity_met_min_low,activity_met_min_medium,activity_rest,activity_steps,sleep_awake,sleep_breath_average,sleep_deep,sleep_duration,sleep_hr_average,sleep_hr_lowest,sleep_rem,sleep_temperature_delta,sleep_temperature_deviation,sleep_total
Dem,401.4991896272292,2425.943273905996,7496.072933549432,3.014586709886549,478.8363047001615,46.3030794165316,22.35818476499185,6.410048622366297,149.77795786061571,151.36304700162083,649.4538087520253,8801.016207455445,6825.446584938696,16.5965411558669,4232.364273204907,33922.80210157615,58.71278458844128,52.73029772329256,4160.542907180387,-0.0385814360770578,-0.0385814360770578,27097.35551663744
MCI,480.20842633928737,2541.4695870535656,9030.22600446424,2.33984375,497.08900669642736,53.13309151785733,15.900669642857116,8.234933035714258,208.94614955357048,167.923828125,527.0373883928602,11116.188895089274,5688.449150014891,16.93848792126462,4911.025946913197,29084.682373993724,60.437145839545934,55.13838353713095,3574.0530867879493,-0.0012317327766179,-0.0012317327766179,23396.233223978583
CN,463.1758912067949,2487.31507299878,8772.154342971307,3.226383740391011,521.9262815468378,52.26333026825105,22.55463550517744,7.792937599108594,192.39711697701432,165.76328241006297,527.9383292286342,10591.890679750892,5277.409445861369,16.72950597459701,5285.605633060072,28654.41027784852,60.59072543627148,55.05783590213916,3685.941142993935,-0.0126843346546029,-0.0126843346546029,23377.000831987127
